subject,pooled_total_events,pooled_hip_peak_events,hip_peak_rate,missing_freqs
NB_subject_304,294,1,0.003401360544217687,0
NB_subject_306,289,0,0.0,0
NB_subject_307,2878,9,0.0031271716469770676,0
NB_subject_308,38,0,0.0,160
NB_subject_309,1232,2,0.0016233766233766235,0
NB_subject_310,1040,0,0.0,0
NB_subject_311,332,0,0.0,0
NB_subject_312,5217,10,0.0019168104274487254,0
NB_subject_313,489,0,0.0,0
NB_subject_314,856,0,0.0,0
NB_subject_315,984,1,0.0010162601626016261,0
NB_subject_316,8051,3,0.00037262451869333004,0
NB_subject_317,6210,8,0.0012882447665056361,0
NB_subject_318,27,0,0.0,"160,240"
NB_subject_319,521,1,0.0019193857965451055,0
NB_subject_320,1307,1,0.0007651109410864575,0
NB_subject_321,498,1,0.002008032128514056,0
NB_subject_322,421,1,0.0023752969121140144,0
NB_subject_324,680,0,0.0,0
NB_subject_325,1507,4,0.0026542800265428003,0
NB_subject_327,18250,19,0.0010410958904109589,0
NB_subject_328,252,0,0.0,0
NB_subject_329,1298,1,0.0007704160246533128,0
NB_subject_330,12427,3,0.00024140983342721493,0
NB_subject_332,9799,9,0.0009184610674558628,0
NB_subject_333,2204,2,0.0009074410163339383,0
NB_subject_334,10996,1,9.094216078574027e-05,0
NB_subject_336,1698,4,0.002355712603062426,0
NB_subject_337,6529,0,0.0,0
NB_subject_338,6395,2,0.0003127443315089914,0
NB_subject_339,212,0,0.0,0
NB_subject_340,228,0,0.0,0
NB_subject_341,4040,2,0.0004950495049504951,0
NB_subject_342,138,0,0.0,0
NB_subject_343,6597,3,0.00045475216007276033,0
NB_subject_344,424,0,0.0,0
NB_subject_345,6294,3,0.00047664442326024784,0
